RSI,MACD,Close,Stochastic Fast K,Stochastic Fast D,Williams %R,Ultimate Oscilator,TSF,CCI,Y
60.329238,0.353121,142.87,82.941176,58.401494,-12.541083,66.573764,143.228604,-100.004849,0.689269
52.546297,0.017834,37.605,78.571429,43.208733,-64.893617,48.889762,37.546044,107.438017,-1.157377
59.404545,0.033104,37.52,83.783784,75.821512,-16.216216,65.473389,37.422535,149.206349,0.093383
52.451906,0.027966,37.295,34,37.5,-60,38.28932,37.300024,-20.648968,-0.053569
47.270098,-0.01163,37.145,62.5,60.833333,-39.655172,52.375035,37.124396,-38.034881,0.805261
60.611115,0.056299,17.115,82.978723,87.942645,-6.851662,64.944784,17.142666,78.634287,-0.204082
34.187851,0.035595,16.7,0,29.505733,-100,38.905365,17.043864,-124.780505,0.950119
39.021102,-0.014853,16.66,2.325041,18.46527,-97.674959,42.932101,16.797527,-119.122477,-3.483483
65.98318,0.104138,17.25,67.741935,71.459293,-7.462687,55.133985,17.367758,77.651515,-1.682135
57.531683,0.738685,146.795,71.003717,70.726275,-35.106383,58.182926,146.831923,100.788261,-2.748407
30.049308,-0.278129,142.04,8.994709,2.642378,-91.962175,23.472735,143.991538,-119.96692,0.360015
43.85456,-0.559579,143.87,35.950413,47.982745,-63.471503,49.686889,143.333988,-113.111097,-2.330054
55.729493,0.033166,145.705,91.666667,73.99508,-3.046595,55.24483,145.786648,144.612734,-0.219524
64.844517,0.393564,128.595,83.921569,83.325105,-8.668076,76.040613,128.611452,42.060988,-0.728789
42.677193,0.143879,127.5,25.380711,14.790933,-74.747475,37.743384,128.171484,-65.866084,2.67472
47.084222,-0.061385,126.975,43.055556,46.817633,-66.93038,45.276392,126.781429,16.488591,0.007862
59.143366,0.106175,128.53,86.1678,70.553326,-17.721519,47.210374,127.818462,130.322627,-0.715935
46.809383,-0.132445,32.09,100,90.338287,-51.851852,52.31088,32.015604,106.060606,0.015625
45.587064,0.019116,32.625,54.081633,24.900398,-76.548673,44.273484,32.477198,-142.479214,-1.477378
40.374002,-0.207862,31.93,34.736842,21.276803,-76.923077,36.112501,31.772802,51.801802,0.407907
54.086499,0.186822,32.975,63.235294,27.591485,-70.547945,44.36524,32.84548,50.047214,-1.243136
51.830735,1.347728,295,0.380228,23.179237,-78.289474,38.957819,296.314615,-166.666667,4.421769
61.270209,0.454657,294.41,99.641577,72.129805,-10.732984,59.46476,293.262635,116.954499,-2.276047
50.561559,0.335364,293.66,14.305221,70.389805,-54.991243,54.805912,294.169885,-104.051238,1.079884
75.176927,1.753738,298.145,95.173745,91.218596,-3.939076,78.357697,297.987402,129.086719,1.042854
54.83935,0.092668,34.58,86.956522,29.800192,-44.827586,58.214572,34.51713,-52.599442,-3.562157
56.187736,-0.056638,34.37,95.121951,79.622436,-3.174603,58.658264,34.221681,142.036371,-0.884314
44.838762,-0.049316,34.01,76.923077,46.299342,-54.545455,56.747618,34.13622,36.255411,1.175779
51.665662,0.071669,34.55,45.205479,69.415405,-47.51773,68.14823,34.537251,-46.22871,-2.773765
47.208434,0.100309,444.1109,42.179321,77.413342,-58.358852,57.403712,444.940367,-27.786895,2.126988
48.3779,-0.041394,444.375,46.44588,56.526252,-54.14673,54.876092,444.465692,-52.122588,1.738681
38.356682,0.081705,441.81,10.151515,56.173055,-89.848485,45.878488,445.74341,-166.666667,2.656755
47.411557,0.171792,444.16,28.796844,28.427022,-73.357664,56.849037,443.638516,-48.03277,1.089285
