RSI,MACD,Close,Stochastic Fast K,Stochastic Fast D,Williams %R,Ultimate Oscilator,TSF,CCI,Y
70.582697,4.850086,189.870000,81.081081,85.872884,-5.571981,58.008943,193.697253,62.384831,8.610762
48.590290,1.618358,218.360000,29.896907,45.356971,-83.458647,42.843135,214.481429,32.967863,0.450287
37.837308,-1.992218,165.000000,7.367583,7.923597,-93.524676,41.716992,169.117802,-110.298967,15.110950
73.655020,8.265614,214.290000,55.563910,73.385962,-19.511390,57.154674,218.528352,57.702084,7.311141
48.953590,-1.104066,216.240000,97.401347,60.127364,-34.583064,53.156786,210.634725,114.993704,2.408863
59.852184,4.821143,186.880000,4.114164,57.740382,-47.916247,45.133312,192.652857,-137.979045,12.696073
48.590290,1.618358,218.360000,29.896907,45.356971,-83.458647,42.843135,214.481429,32.967863,0.450287
69.592367,5.227892,190.900000,49.565970,76.982112,-15.504995,55.216683,193.233956,50.055844,14.110659
76.428253,8.521683,228.680000,94.965035,98.523899,-3.156510,68.479451,228.044505,90.952216,-7.185166
48.953590,-1.104066,216.240000,97.401347,60.127364,-34.583064,53.156786,210.634725,114.993704,2.408863
39.393934,-0.603243,216.320000,23.715415,60.398542,-87.368421,54.490514,217.995165,-140.524941,7.085198
48.355059,-1.781308,169.890000,88.982402,61.203347,-59.292965,49.493068,167.119560,114.489606,12.398110
49.389467,2.060921,218.800000,41.060904,29.408118,-81.512605,42.827898,215.256484,4.809137,3.115994
57.034435,6.222340,223.960000,12.071429,16.403261,-59.963850,45.594097,229.311099,-59.325723,-0.213324
37.837308,-1.992218,165.000000,7.367583,7.923597,-93.524676,41.716992,169.117802,-110.298967,15.110950
50.598304,-0.019251,222.500000,78.990450,64.161820,-64.281308,58.965060,219.638901,99.672838,7.146820
78.932337,6.074491,213.070000,74.581105,73.054553,-21.236039,61.332818,205.372747,140.981613,6.833458
37.837308,-1.992218,165.000000,7.367583,7.923597,-93.524676,41.716992,169.117802,-110.298967,15.110950
69.769650,4.311984,194.030000,83.701188,74.811417,-11.034483,48.156755,192.285165,166.666667,17.221508
62.434268,2.609051,228.030000,83.466075,64.301763,-4.095904,64.279795,230.668242,138.440223,2.874299
75.773664,8.210045,227.820000,99.811676,99.509823,-0.141110,66.838147,224.041429,97.479034,-6.721182
70.582697,4.850086,189.870000,81.081081,85.872884,-5.571981,58.008943,193.697253,62.384831,8.610762
